OID_,Value,Count,Clip_OutRaster_LC20_SCla_220,Clip_OutRaster_LC16_BPS_200,LABEL,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_ALLFIR
78,78,199.000000000000000,4,773,D,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404
79,79,372.000000000000000,132,772,Barren or Sparse,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,80
80,80,502719.000000000000000,5,2719,E,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,40
81,81,41796.000000000000000,180,2719,Agriculture,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,40
82,82,86692.000000000000000,3,2719,C,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,40
83,83,189218.000000000000000,120,2719,Developed,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,40
84,84,123164.000000000000000,7,2719,UE,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,40
85,85,117145.000000000000000,3,783,C,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,865
86,86,16564.000000000000000,2,783,B,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,865
87,87,120646.000000000000000,1,2719,A,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,40
88,88,5967.000000000000000,1,783,A,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,865
89,89,2902.000000000000000,7,783,UE,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,865
90,90,26135.000000000000000,2,763,B,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,9
91,91,4340.000000000000000,4,2719,D,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,40
92,92,784.000000000000000,180,786,Agriculture,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,NA
93,93,943926.000000000000000,2,760,B,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,10
94,94,2.000000000000000,132,786,Barren or Sparse,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,NA
